method,artist,topic,event_axis,pearson_r,pearson_p,spearman_r,spearman_p,perm_p,window_effect,n_years,event_window_years
keywords,Los Tigres del Norte,migracion,drug_war_mx,0.2245,0.1096,0.2398,0.0868,0.113,0.867671,52,2
keywords,Los Tigres del Norte,migracion,elections_mx,0.1769,0.2096,0.2159,0.1242,0.233,0.960574,52,2
keywords,Los Tigres del Norte,migracion,immigration_usmx,0.1032,0.4666,0.0967,0.4951,0.491,0.490324,52,2
keywords,Los Tigres del Norte,migracion,us_presidency,0.083,0.5584,0.1395,0.324,0.552,0.413009,52,2
keywords,Los Tigres del Norte,narco,drug_war_mx,-0.0056,0.9688,0.0124,0.9307,0.974,-0.011954,52,2
keywords,Los Tigres del Norte,narco,elections_mx,0.1641,0.245,0.1941,0.1678,0.258,0.495282,52,2
keywords,Los Tigres del Norte,narco,immigration_usmx,0.1034,0.4658,0.1131,0.4247,0.476,0.273025,52,2
keywords,Los Tigres del Norte,narco,us_presidency,0.1138,0.4218,0.1063,0.4532,0.433,0.314665,52,2
keywords,Los Tigres del Norte,politica_mx,drug_war_mx,0.0546,0.7008,0.0661,0.6415,0.689,0.02718,52,2
keywords,Los Tigres del Norte,politica_mx,elections_mx,0.1897,0.178,0.1725,0.2214,0.194,0.132752,52,2
keywords,Los Tigres del Norte,politica_mx,immigration_usmx,0.2002,0.1547,0.2503,0.0735,0.156,0.122608,52,2
keywords,Los Tigres del Norte,politica_mx,us_presidency,0.2097,0.1358,0.262,0.0606,0.11,0.134415,52,2
keywords,Los Tucanes de Tijuana,migracion,drug_war_mx,-0.0255,0.8578,0.163,0.2483,0.866,-0.039552,52,2
keywords,Los Tucanes de Tijuana,migracion,elections_mx,0.2156,0.1248,0.2373,0.0903,0.133,0.47036,52,2
keywords,Los Tucanes de Tijuana,migracion,immigration_usmx,0.2102,0.1348,0.2027,0.1495,0.12,0.401321,52,2
keywords,Los Tucanes de Tijuana,migracion,us_presidency,0.2763,0.0474,0.3067,0.027,0.032,0.552313,52,2
keywords,Los Tucanes de Tijuana,narco,drug_war_mx,0.2409,0.0854,0.2653,0.0573,0.089,1.333799,52,2
keywords,Los Tucanes de Tijuana,narco,elections_mx,0.2336,0.0956,0.2487,0.0754,0.107,1.816856,52,2
keywords,Los Tucanes de Tijuana,narco,immigration_usmx,0.2384,0.0888,0.2663,0.0564,0.081,1.622654,52,2
keywords,Los Tucanes de Tijuana,narco,us_presidency,0.063,0.6572,0.1665,0.2382,0.648,0.449088,52,2
keywords,Los Tucanes de Tijuana,politica_mx,drug_war_mx,0.1198,0.3977,0.1687,0.232,0.491,0.078204,52,2
keywords,Los Tucanes de Tijuana,politica_mx,elections_mx,0.0766,0.5892,0.0948,0.5039,0.779,0.070282,52,2
keywords,Los Tucanes de Tijuana,politica_mx,immigration_usmx,0.1472,0.2976,0.2073,0.1403,0.207,0.11817,52,2
keywords,Los Tucanes de Tijuana,politica_mx,us_presidency,0.1542,0.2752,0.2171,0.1221,0.351,0.129549,52,2
keywords,all_artists,migracion,drug_war_mx,0.246,0.0787,0.3072,0.0267,0.065,0.765649,52,2
keywords,all_artists,migracion,elections_mx,0.1829,0.1943,0.2375,0.09,0.181,0.799564,52,2
keywords,all_artists,migracion,immigration_usmx,0.1396,0.3236,0.1493,0.2907,0.317,0.534079,52,2
keywords,all_artists,migracion,us_presidency,0.098,0.4896,0.1907,0.1757,0.496,0.392401,52,2
keywords,all_artists,narco,drug_war_mx,0.1964,0.1629,0.1916,0.1736,0.146,0.992354,52,2
keywords,all_artists,narco,elections_mx,0.2332,0.0961,0.251,0.0727,0.096,1.655419,52,2
keywords,all_artists,narco,immigration_usmx,0.1793,0.2034,0.2263,0.1066,0.21,1.113833,52,2
keywords,all_artists,narco,us_presidency,0.0066,0.9629,0.1126,0.4269,0.969,0.043033,52,2
keywords,all_artists,politica_mx,drug_war_mx,0.1145,0.419,0.1345,0.3416,0.46,0.062492,52,2
keywords,all_artists,politica_mx,elections_mx,0.1326,0.3487,0.1449,0.3055,0.358,0.101662,52,2
keywords,all_artists,politica_mx,immigration_usmx,0.238,0.0894,0.3084,0.0261,0.066,0.159659,52,2
keywords,all_artists,politica_mx,us_presidency,0.2492,0.0749,0.3229,0.0196,0.052,0.175034,52,2
